Municipio,obitos_p/Residência
110001 ALTA FLORESTA D'OESTE,145
110002 ARIQUEMES,511
110003 CABIXI,28
110004 CACOAL,440
110005 CEREJEIRAS,80
110006 COLORADO DO OESTE,88
110007 CORUMBIARA,42
110008 COSTA MARQUES,66
110009 ESPIGAO D'OESTE,149
110010 GUAJARA-MIRIM,208
110011 JARU,261
110012 JI-PARANA,603
110013 MACHADINHO D'OESTE,149
110014 NOVA BRASILANDIA D'OESTE,89
110015 OURO PRETO DO OESTE,191
110018 PIMENTA BUENO,187
110020 PORTO VELHO,2271
110025 PRESIDENTE MEDICI,126
110026 RIO CRESPO,11
110028 ROLIM DE MOURA,281
110029 SANTA LUZIA D'OESTE,46
110030 VILHENA,437
110032 SAO MIGUEL DO GUAPORE,104
110033 NOVA MAMORE,107
110034 ALVORADA D'OESTE,84
110037 ALTO ALEGRE DOS PARECIS,53
110040 ALTO PARAISO,78
110045 BURITIS,139
110050 NOVO HORIZONTE DO OESTE,41
110060 CACAULANDIA,28
110070 CAMPO NOVO DE RONDONIA,43
110080 CANDEIAS DO JAMARI,111
110090 CASTANHEIRAS,17
110092 CHUPINGUAIA,42
110094 CUJUBIM,50
110100 GOVERNADOR JORGE TEIXEIRA,35
110110 ITAPUA DO OESTE,35
110120 MINISTRO ANDREAZZA,48
110130 MIRANTE DA SERRA,57
110140 MONTE NEGRO,69
110143 NOVA UNIAO,30
110145 PARECIS,16
110146 PIMENTEIRAS DO OESTE,10
110147 PRIMAVERA DE RONDONIA,22
110148 SAO FELIPE D'OESTE,21
110149 SAO FRANCISCO DO GUAPORE,72
110150 SERINGUEIRAS,44
110155 TEIXEIROPOLIS,19
110160 THEOBROMA,38
110170 URUPA,55
110175 VALE DO ANARI,33
110180 VALE DO PARAISO,21
120001 ACRELANDIA,56
120005 ASSIS BRASIL,31
120010 BRASILEIA,115
120013 BUJARI,44
120017 CAPIXABA,53
120020 CRUZEIRO DO SUL,373
120025 EPITACIOLANDIA,65
120030 FEIJO,150
120032 JORDAO,14
120033 MANCIO LIMA,75
120034 MANOEL URBANO,39
120035 MARECHAL THAUMATURGO,29
120038 PLACIDO DE CASTRO,73
120039 PORTO WALTER,22
120040 RIO BRANCO,1731
120042 RODRIGUES ALVES,33
120043 SANTA ROSA DO PURUS,26
120045 SENADOR GUIOMARD,110
120050 SENA MADUREIRA,170
120060 TARAUACA,169
120070 XAPURI,68
120080 PORTO ACRE,67
130002 ALVARAES,36
130006 AMATURA,36
130008 ANAMA,26
130010 ANORI,60
130014 APUI,48
130020 ATALAIA DO NORTE,52
130030 AUTAZES,146
130040 BARCELOS,84
130050 BARREIRINHA,101
130060 BENJAMIN CONSTANT,141
130063 BERURI,45
130068 BOA VISTA DO RAMOS,48
130070 BOCA DO ACRE,133
130080 BORBA,108
130083 CAAPIRANGA,20
130090 CANUTAMA,38
130100 CARAUARI,97
130110 CAREIRO,96
130115 CAREIRO DA VARZEA,44
130120 COARI,311
130130 CODAJAS,69
130140 EIRUNEPE,150
130150 ENVIRA,64
130160 FONTE BOA,71
130165 GUAJARA,50
130170 HUMAITA,176
130180 IPIXUNA,55
130185 IRANDUBA,210
130190 ITACOATIARA,362
130195 ITAMARATI,29
130200 ITAPIRANGA,29
130210 JAPURA,8
130220 JURUA,21
130230 JUTAI,76
130240 LABREA,154
