Municipio,Nascim_p/resid.mae
110001 ALTA FLORESTA D'OESTE,721
110002 ARIQUEMES,2070
110003 CABIXI,101
110004 CACOAL,1702
110005 CEREJEIRAS,219
110006 COLORADO DO OESTE,263
110007 CORUMBIARA,92
110008 COSTA MARQUES,162
110009 ESPIGAO D'OESTE,527
110010 GUAJARA-MIRIM,948
110011 JARU,1272
110012 JI-PARANA,1855
110013 MACHADINHO D'OESTE,465
110014 NOVA BRASILANDIA D'OESTE,424
110015 OURO PRETO DO OESTE,519
110018 PIMENTA BUENO,758
110020 PORTO VELHO,8078
110025 PRESIDENTE MEDICI,440
110026 RIO CRESPO,43
110028 ROLIM DE MOURA,912
110029 SANTA LUZIA D'OESTE,203
110030 VILHENA,1046
110032 SAO MIGUEL DO GUAPORE,280
110033 NOVA MAMORE,236
110034 ALVORADA D'OESTE,483
110037 ALTO ALEGRE DOS PARECIS,179
110040 ALTO PARAISO,258
110045 BURITIS,622
110050 NOVO HORIZONTE DO OESTE,192
110060 CACAULANDIA,70
110070 CAMPO NOVO DE RONDONIA,121
110080 CANDEIAS DO JAMARI,80
110090 CASTANHEIRAS,57
110092 CHUPINGUAIA,80
110094 CUJUBIM,152
110100 GOVERNADOR JORGE TEIXEIRA,232
110110 ITAPUA DO OESTE,34
110120 MINISTRO ANDREAZZA,229
110130 MIRANTE DA SERRA,348
110140 MONTE NEGRO,176
110143 NOVA UNIAO,88
110145 PARECIS,77
110146 PIMENTEIRAS DO OESTE,43
110147 PRIMAVERA DE RONDONIA,83
110148 SAO FELIPE D'OESTE,124
110149 SAO FRANCISCO DO GUAPORE,212
110150 SERINGUEIRAS,220
110155 TEIXEIROPOLIS,50
110160 THEOBROMA,225
110170 URUPA,197
110175 VALE DO ANARI,109
110180 VALE DO PARAISO,99
120001 ACRELANDIA,172
120005 ASSIS BRASIL,113
120010 BRASILEIA,461
120013 BUJARI,28
120017 CAPIXABA,65
120020 CRUZEIRO DO SUL,2205
120025 EPITACIOLANDIA,303
120030 FEIJO,516
120032 JORDAO,11
120033 MANCIO LIMA,248
120034 MANOEL URBANO,87
120035 MARECHAL THAUMATURGO,248
120038 PLACIDO DE CASTRO,323
120039 PORTO WALTER,73
120040 RIO BRANCO,7788
120042 RODRIGUES ALVES,250
120043 SANTA ROSA DO PURUS,35
120045 SENADOR GUIOMARD,268
120050 SENA MADUREIRA,592
120060 TARAUACA,660
120070 XAPURI,376
120080 PORTO ACRE,75
130002 ALVARAES,262
130006 AMATURA,96
130008 ANAMA,251
130010 ANORI,279
130014 APUI,250
130020 ATALAIA DO NORTE,265
130030 AUTAZES,769
130040 BARCELOS,259
130050 BARREIRINHA,492
130060 BENJAMIN CONSTANT,637
130063 BERURI,292
130068 BOA VISTA DO RAMOS,378
130070 BOCA DO ACRE,587
130080 BORBA,626
130083 CAAPIRANGA,117
130090 CANUTAMA,162
130100 CARAUARI,421
130110 CAREIRO,304
130115 CAREIRO DA VARZEA,269
130120 COARI,1598
130130 CODAJAS,364
130140 EIRUNEPE,682
130150 ENVIRA,352
130160 FONTE BOA,487
130165 GUAJARA,274
130170 HUMAITA,1204
130180 IPIXUNA,357
130185 IRANDUBA,551
130190 ITACOATIARA,2150
130195 ITAMARATI,131
130200 ITAPIRANGA,170
130210 JAPURA,100
130220 JURUA,109
130230 JUTAI,334
130240 LABREA,535
130250 MANACAPURU,2294
130255 MANAQUIRI,177
130260 MANAUS,37767
130270 MANICORE,650
130280 MARAA,288
130290 MAUES,1039
130300 NHAMUNDA,351
130310 NOVA OLINDA DO NORTE,537
130320 NOVO AIRAO,260
130330 NOVO ARIPUANA,253
130340 PARINTINS,2483
130350 PAUINI,254
130353 PRESIDENTE FIGUEIREDO,383
130356 RIO PRETO DA EVA,233
130360 SANTA ISABEL DO RIO NEGRO,164
130370 SANTO ANTONIO DO ICA,317
130380 SAO GABRIEL DA CACHOEIRA,1511
130390 SAO PAULO DE OLIVENCA,313
130395 SAO SEBASTIAO DO UATUMA,138
130400 SILVES,208
130406 TABATINGA,1031
130410 TAPAUA,459
130420 TEFE,1661
130423 TONANTINS,278
130426 UARINI,366
130430 URUCARA,353
130440 URUCURITUBA,368
140002 AMAJARI,221
140005 ALTO ALEGRE,439
140010 BOA VISTA,6051
140015 BONFIM,230
140017 CANTA,192
140020 CARACARAI,451
140023 CAROEBE,169
140028 IRACEMA,152
140030 MUCAJAI,314
140040 NORMANDIA,291
140045 PACARAIMA,276
140047 RORAINOPOLIS,355
140050 SAO JOAO DA BALIZA,119
140060 SAO LUIZ,108
140070 UIRAMUTA,231
150010 ABAETETUBA,3301
150013 ABEL FIGUEIREDO,61
150020 ACARA,687
150030 AFUA,683
150034 AGUA AZUL DO NORTE,126
150040 ALENQUER,1317
150050 ALMEIRIM,761
150060 ALTAMIRA,2278
150070 ANAJAS,344
150080 ANANINDEUA,10208
150085 ANAPU,242
150090 AUGUSTO CORREA,640
150095 AURORA DO PARA,442
150100 AVEIRO,294
150110 BAGRE,333
150120 BAIAO,288
150125 BANNACH,46
150130 BARCARENA,1497
150140 BELEM,25563
150145 BELTERRA,249
150150 BENEVIDES,840
150157 BOM JESUS DO TOCANTINS,198
150160 BONITO,147
150170 BRAGANCA,2293
150172 BRASIL NOVO,298
150175 BREJO GRANDE DO ARAGUAIA,101
150178 BREU BRANCO,308
150180 BREVES,2046
150190 BUJARU,344
150195 CACHOEIRA DO PIRIA,201
150200 CACHOEIRA DO ARARI,221
150210 CAMETA,2737
150215 CANAA DOS CARAJAS,224
150220 CAPANEMA,1231
150230 CAPITAO POCO,802
150240 CASTANHAL,3458
150250 CHAVES,132
150260 COLARES,156
150270 CONCEICAO DO ARAGUAIA,1183
150275 CONCORDIA DO PARA,368
150276 CUMARU DO NORTE,48
150277 CURIONOPOLIS,415
150280 CURRALINHO,205
150285 CURUA,199
150290 CURUCA,256
150293 DOM ELISEU,833
150295 ELDORADO DOS CARAJAS,564
150300 FARO,147
150304 FLORESTA DO ARAGUAIA,278
150307 GARRAFAO DO NORTE,670
150309 GOIANESIA DO PARA,649
150310 GURUPA,547
150320 IGARAPE-ACU,608
150330 IGARAPE-MIRI,1074
150340 INHANGAPI,201
150345 IPIXUNA DO PARA,548
150350 IRITUIA,730
150360 ITAITUBA,3516
150370 ITUPIRANGA,795
150375 JACAREACANGA,230
150380 JACUNDA,1235
150390 JURUTI,482
150400 LIMOEIRO DO AJURU,275
150405 MAE DO RIO,755
150410 MAGALHAES BARATA,115
150420 MARABA,3873
150430 MARACANA,254
150440 MARAPANIM,196
150442 MARITUBA,1680
150445 MEDICILANDIA,546
150450 MELGACO,211
150460 MOCAJUBA,474
150470 MOJU,675
150480 MONTE ALEGRE,1627
150490 MUANA,359
150495 NOVA ESPERANCA DO PIRIA,266
150497 NOVA IPIXUNA,70
150500 NOVA TIMBOTEUA,247
150503 NOVO PROGRESSO,295
150506 NOVO REPARTIMENTO,1063
150510 OBIDOS,1033
150520 OEIRAS DO PARA,536
150530 ORIXIMINA,1424
150540 OUREM,320
150543 OURILANDIA DO NORTE,291
150548 PACAJA,589
150549 PALESTINA DO PARA,221
150550 PARAGOMINAS,2089
150553 PARAUAPEBAS,2215
150555 PAU D'ARCO,73
150560 PEIXE-BOI,154
150563 PICARRA,177
150565 PLACAS,249
150570 PONTA DE PEDRAS,236
150580 PORTEL,856
150590 PORTO DE MOZ,457
150600 PRAINHA,489
150610 PRIMAVERA,256
150611 QUATIPURU,249
150613 REDENCAO,1851
150616 RIO MARIA,413
150618 RONDON DO PARA,1085
150619 RUROPOLIS,430
150620 SALINOPOLIS,872
150630 SALVATERRA,228
150635 SANTA BARBARA DO PARA,245
150640 SANTA CRUZ DO ARARI,60
150650 SANTA IZABEL DO PARA,1229
150655 SANTA LUZIA DO PARA,378
150658 SANTA MARIA DAS BARREIRAS,119
150660 SANTA MARIA DO PARA,513
150670 SANTANA DO ARAGUAIA,541
150680 SANTAREM,6066
150690 SANTAREM NOVO,102
150700 SANTO ANTONIO DO TAUA,498
150710 SAO CAETANO DE ODIVELAS,214
150715 SAO DOMINGOS DO ARAGUAIA,518
150720 SAO DOMINGOS DO CAPIM,576
150730 SAO FELIX DO XINGU,902
150740 SAO FRANCISCO DO PARA,238
150745 SAO GERALDO DO ARAGUAIA,785
150746 SAO JOAO DA PONTA,61
150747 SAO JOAO DE PIRABAS,281
150750 SAO JOAO DO ARAGUAIA,183
150760 SAO MIGUEL DO GUAMA,1165
150770 SAO SEBASTIAO DA BOA VISTA,233
150775 SAPUCAIA,77
150780 SENADOR JOSE PORFIRIO,250
150790 SOURE,339
150795 TAILANDIA,1300
150796 TERRA ALTA,137
150797 TERRA SANTA,319
150800 TOME-ACU,538
150803 TRACUATEUA,489
150805 TRAIRAO,222
150808 TUCUMA,588
150810 TUCURUI,1254
150812 ULIANOPOLIS,284
150815 URUARA,756
150820 VIGIA,853
150830 VISEU,898
150835 VITORIA DO XINGU,196
150840 XINGUARA,679
160005 SERRA DO NAVIO,92
160010 AMAPA,265
160015 PEDRA BRANCA DO AMAPARI,64
160020 CALCOENE,126
160021 CUTIAS,77
160023 FERREIRA GOMES,118
160025 ITAUBAL,63
160027 LARANJAL DO JARI,818
160030 MACAPA,8919
160040 MAZAGAO,368
160050 OIAPOQUE,279
160053 PORTO GRANDE,304
160055 PRACUUBA,39
160060 SANTANA,2576
160070 TARTARUGALZINHO,209
160080 VITORIA DO JARI,292
170025 ABREULANDIA,39
170030 AGUIARNOPOLIS,56
170035 ALIANCA DO TOCANTINS,108
170040 ALMAS,153
170070 ALVORADA,145
170100 ANANAS,240
170105 ANGICO,55
170110 APARECIDA DO RIO NEGRO,56
170130 ARAGOMINAS,115
170190 ARAGUACEMA,139
170200 ARAGUACU,204
170210 ARAGUAINA,2876
170215 ARAGUANA,89
170220 ARAGUATINS,742
170230 ARAPOEMA,199
170240 ARRAIAS,252
170255 AUGUSTINOPOLIS,374
170270 AURORA DO TOCANTINS,56
170290 AXIXA DO TOCANTINS,312
170300 BABACULANDIA,172
170305 BANDEIRANTES DO TOCANTINS,56
170307 BARRA DO OURO,85
170310 BARROLANDIA,120
170320 BERNARDO SAYAO,63
170330 BOM JESUS DO TOCANTINS,39
170360 BRASILANDIA DO TOCANTINS,37
170370 BREJINHO DE NAZARE,125
170380 BURITI DO TOCANTINS,228
170382 CACHOEIRINHA,43
170384 CAMPOS LINDOS,62
170386 CARIRI DO TOCANTINS,44
170388 CARMOLANDIA,51
170389 CARRASCO BONITO,93
170390 CASEARA,68
170410 CENTENARIO,61
170460 CHAPADA DE AREIA,15
170510 CHAPADA DA NATIVIDADE,44
170550 COLINAS DO TOCANTINS,824
170555 COMBINADO,98
170560 CONCEICAO DO TOCANTINS,96
170600 COUTO MAGALHAES,74
170610 CRISTALANDIA,142
170625 CRIXAS DO TOCANTINS,19
170650 DARCINOPOLIS,85
170700 DIANOPOLIS,434
170710 DIVINOPOLIS DO TOCANTINS,98
170720 DOIS IRMAOS DO TOCANTINS,118
170730 DUERE,67
170740 ESPERANTINA,216
170755 FATIMA,83
170765 FIGUEIROPOLIS,74
170770 FILADELFIA,158
170820 FORMOSO DO ARAGUAIA,458
170825 FORTALEZA DO TABOCAO,31
170830 GOIANORTE,97
170900 GOIATINS,326
170930 GUARAI,485
170950 GURUPI,1567
170980 IPUEIRAS,33
171050 ITACAJA,149
171070 ITAGUATINS,128
171090 ITAPIRATINS,50
171110 ITAPORA DO TOCANTINS,47
171150 JAU DO TOCANTINS,39
171180 JUARINA,47
171190 LAGOA DA CONFUSAO,103
171195 LAGOA DO TOCANTINS,57
171200 LAJEADO,53
171215 LAVANDEIRA,15
171240 LIZARDA,58
171245 LUZINOPOLIS,41
171250 MARIANOPOLIS DO TOCANTINS,53
171270 MATEIROS,27
171280 MAURILANDIA DO TOCANTINS,26
171320 MIRACEMA DO TOCANTINS,679
171330 MIRANORTE,312
171360 MONTE DO CARMO,104
171370 MONTE SANTO DO TOCANTINS,20
171380 PALMEIRAS DO TOCANTINS,87
171395 MURICILANDIA,99
171420 NATIVIDADE,206
171430 NAZARE,68
171488 NOVA OLINDA,238
171500 NOVA ROSALANDIA,54
171510 NOVO ACORDO,51
171515 NOVO ALEGRE,22
171525 NOVO JARDIM,51
171550 OLIVEIRA DE FATIMA,14
171570 PALMEIRANTE,74
171575 PALMEIROPOLIS,99
171610 PARAISO DO TOCANTINS,732
171620 PARANA,234
171630 PAU D'ARCO,76
171650 PEDRO AFONSO,196
171660 PEIXE,146
171665 PEQUIZEIRO,66
171670 COLMEIA,190
171700 PINDORAMA DO TOCANTINS,44
171720 PIRAQUE,61
171750 PIUM,93
171780 PONTE ALTA DO BOM JESUS,103
171790 PONTE ALTA DO TOCANTINS,118
171800 PORTO ALEGRE DO TOCANTINS,27
171820 PORTO NACIONAL,1016
171830 PRAIA NORTE,167
171840 PRESIDENTE KENNEDY,106
171845 PUGMIL,20
171850 RECURSOLANDIA,111
171855 RIACHINHO,84
171865 RIO DA CONCEICAO,33
171870 RIO DOS BOIS,78
171875 RIO SONO,97
171880 SAMPAIO,146
171884 SANDOLANDIA,32
171886 SANTA FE DO ARAGUAIA,180
171888 SANTA MARIA DO TOCANTINS,40
171889 SANTA RITA DO TOCANTINS,8
171890 SANTA ROSA DO TOCANTINS,92
171900 SANTA TEREZA DO TOCANTINS,40
172000 SANTA TEREZINHA DO TOCANTINS,32
172010 SAO BENTO DO TOCANTINS,67
172015 SAO FELIX DO TOCANTINS,22
172020 SAO MIGUEL DO TOCANTINS,81
172025 SAO SALVADOR DO TOCANTINS,22
172030 SAO SEBASTIAO DO TOCANTINS,97
172049 SAO VALERIO,79
172065 SILVANOPOLIS,83
172080 SITIO NOVO DO TOCANTINS,175
172085 SUCUPIRA,25
172090 TAGUATINGA,369
172093 TAIPAS DO TOCANTINS,22
172097 TALISMA,29
172100 PALMAS,3908
172110 TOCANTINIA,311
172120 TOCANTINOPOLIS,518
172125 TUPIRAMA,18
172130 TUPIRATINS,24
172208 WANDERLANDIA,238
172210 XAMBIOA,323
210005 ACAILANDIA,1660
210010 AFONSO CUNHA,69
210015 AGUA DOCE DO MARANHAO,84
210020 ALCANTARA,300
210030 ALDEIAS ALTAS,366
210040 ALTAMIRA DO MARANHAO,143
210043 ALTO ALEGRE DO MARANHAO,115
210047 ALTO ALEGRE DO PINDARE,433
210050 ALTO PARNAIBA,218
210055 AMAPA DO MARANHAO,136
210060 AMARANTE DO MARANHAO,551
210070 ANAJATUBA,377
210080 ANAPURUS,286
210083 APICUM-ACU,217
210087 ARAGUANA,64
210090 ARAIOSES,485
210095 ARAME,323
210100 ARARI,534
210110 AXIXA,64
210120 BACABAL,1916
210125 BACABEIRA,247
210130 BACURI,268
210135 BACURITUBA,73
210140 BALSAS,1638
210150 BARAO DE GRAJAU,267
210160 BARRA DO CORDA,1787
210170 BARREIRINHAS,704
210173 BELAGUA,112
210177 BELA VISTA DO MARANHAO,137
210180 BENEDITO LEITE,74
210190 BEQUIMAO,235
210193 BERNARDO DO MEARIM,47
210197 BOA VISTA DO GURUPI,91
210200 BOM JARDIM,382
210203 BOM JESUS DAS SELVAS,145
210207 BOM LUGAR,122
210210 BREJO,428
210215 BREJO DE AREIA,63
210220 BURITI,741
210230 BURITI BRAVO,262
210232 BURITICUPU,609
210235 BURITIRANA,168
210237 CACHOEIRA GRANDE,80
210240 CAJAPIO,221
210250 CAJARI,153
210255 CAMPESTRE DO MARANHAO,197
210260 CANDIDO MENDES,120
210270 CANTANHEDE,361
210275 CAPINZAL DO NORTE,165
210280 CAROLINA,396
210290 CARUTAPERA,403
210300 CAXIAS,2943
210310 CEDRAL,111
210312 CENTRAL DO MARANHAO,150
210315 CENTRO DO GUILHERME,62
210317 CENTRO NOVO DO MARANHAO,194
210320 CHAPADINHA,1566
210325 CIDELANDIA,104
210330 CODO,2426
210340 COELHO NETO,1119
210350 COLINAS,285
210355 CONCEICAO DO LAGO-ACU,127
210360 COROATA,1389
210370 CURURUPU,582
210375 DAVINOPOLIS,252
210380 DOM PEDRO,268
210390 DUQUE BACELAR,207
210400 ESPERANTINOPOLIS,299
210405 ESTREITO,652
210407 FEIRA NOVA DO MARANHAO,120
210408 FERNANDO FALCAO,168
210409 FORMOSA DA SERRA NEGRA,276
210410 FORTALEZA DOS NOGUEIRAS,268
210420 FORTUNA,297
210430 GODOFREDO VIANA,115
210440 GONCALVES DIAS,231
210450 GOVERNADOR ARCHER,168
210455 GOVERNADOR EDISON LOBAO,199
210460 GOVERNADOR EUGENIO BARROS,251
210462 GOVERNADOR LUIZ ROCHA,197
210465 GOVERNADOR NEWTON BELLO,158
210467 GOVERNADOR NUNES FREIRE,612
210470 GRACA ARANHA,100
210480 GRAJAU,1202
210490 GUIMARAES,223
210500 HUMBERTO DE CAMPOS,280
210510 ICATU,472
210515 IGARAPE DO MEIO,192
210520 IGARAPE GRANDE,249
210530 IMPERATRIZ,5838
210535 ITAIPAVA DO GRAJAU,117
210540 ITAPECURU MIRIM,1282
210542 ITINGA DO MARANHAO,437
210545 JATOBA,65
210547 JENIPAPO DOS VIEIRAS,184
210550 JOAO LISBOA,479
210560 JOSELANDIA,282
210565 JUNCO DO MARANHAO,105
210570 LAGO DA PEDRA,809
210580 LAGO DO JUNCO,77
210590 LAGO VERDE,312
210592 LAGOA DO MATO,35
210594 LAGO DOS RODRIGUES,142
210596 LAGOA GRANDE DO MARANHAO,147
210598 LAJEADO NOVO,65
210600 LIMA CAMPOS,189
210610 LORETO,158
210620 LUIS DOMINGUES,95
210630 MAGALHAES DE ALMEIDA,279
210632 MARACACUME,329
210635 MARAJA DO SENA,53
210637 MARANHAOZINHO,134
210640 MATA ROMA,298
210650 MATINHA,283
210660 MATOES,372
210663 MATOES DO NORTE,113
210667 MILAGRES DO MARANHAO,46
210670 MIRADOR,270
210675 MIRANDA DO NORTE,399
210680 MIRINZAL,264
210690 MONCAO,263
210700 MONTES ALTOS,280
210710 MORROS,230
210720 NINA RODRIGUES,172
210725 NOVA COLINAS,98
210730 NOVA IORQUE,79
210735 NOVA OLINDA DO MARANHAO,190
210740 OLHO D'AGUA DAS CUNHAS,341
210745 OLINDA NOVA DO MARANHAO,180
210750 PACO DO LUMIAR,1225
210760 PALMEIRANDIA,236
210770 PARAIBANO,420
210780 PARNARAMA,744
210790 PASSAGEM FRANCA,116
210800 PASTOS BONS,290
210805 PAULINO NEVES,87
210810 PAULO RAMOS,193
210820 PEDREIRAS,733
210825 PEDRO DO ROSARIO,288
210830 PENALVA,672
210840 PERI MIRIM,165
210845 PERITORO,376
210850 PINDARE-MIRIM,629
210860 PINHEIRO,1326
210870 PIO XII,583
210880 PIRAPEMAS,165
210890 POCAO DE PEDRAS,418
210900 PORTO FRANCO,405
210905 PORTO RICO DO MARANHAO,119
